youtube_channel_id,name_short,name_english,name_japanese,twitter_id,profile_id,birthday,height,unit
UCa9Y57gfeY0Zro_noHRVrnw,Luna,Himemori Luna,姫森ルーナ,himemoriluna,himemori-luna,2000-10-10,140 cm,hololive 4th Generation
UCMGfV7TVTmHhEErVJg1oHBQ,Ao,Hiodoshi Ao,火威青,hiodoshiao,hiodoshi-ao,2000-02-27,171 cm,ReGLOSS
UC5CwaMl1eIgY8h02uZw7u8A,Suisei,Hoshimachi Suisei,星街すいせい,suisei_hosimati,hoshimachi-suisei,2000-03-22,160 cm,hololive Generation 0
UCCzUftO8KOVkV4wQG1vkUvg,Marine,Houshou Marine,宝鐘マリン,houshoumarine,houshou-marine,2000-07-30,150 cm,hololive 3rd Generation
UCtyWhCj3AqKh2dXctLkDtng,Ririka,Ichijou Ririka,一条莉々華,ichijouririka,ichijou-ririka,2000-05-12,162 cm,ReGLOSS
UChAnqc_AY5_I3Px5dig3X1Q,Korone,Inugami Korone,戌神ころね,inugamikorone,inugami-korone,2000-10-01,156 cm,hololive GAMERS
UC8rcEBzJSleTkf_-agPM20g,IRyS,IRyS,IRyS,irys_en,irys,2000-03-07,162 ㎝,hololive English -Promise-
UC9LSiN9hXI55svYEBrrK-tw,Riona,Isaki Riona,響咲リオナ,isakiriona,isaki-riona,2000-05-29,160 cm,FLOW GLOW
UCdXAk5MpyLD8594lm_OvtGQ,Raden,Juufuutei Raden,儒烏風亭らでん,juufuuteiraden,juufuutei-raden,2000-02-04,159 cm,ReGLOSS
UCZLZ8Jjx_RN2CXloOmgTHVg,Kovalskia,Kaela Kovalskia,カエラ コヴァルスキア,kaelakovalskia,kaela-kovalskia,2000-08-30,173 cm,hololive Indonesia
UC_vMYWcDjmfdpH6r4TTn1MQ,Iroha,Kazama Iroha,風真いろは,kazamairohach,kazama-iroha,2000-06-18,156 cm,holoX
UCGzTVXqMQHa4AgJVJIVvtDQ,Vivi,Kikirara Vivi,綺々羅々ヴィヴィ,kikiraravivi,kikirara-vivi,2000-08-27,161 cm,FLOW GLOW
UCS9uQI-jC3DE0L4IpXyvr6w,Coco,Kiryu Coco,桐生ココ,kiryucoco,kiryu-coco,2000-06-17,180 cm (7 m in dragon form),hololive 4th Generation
UCjLEmnpCNeisMxy134KPwWw,Kanaeru,Kobo Kanaeru,こぼ かなえる,kobokanaeru,kobo-kanaeru,2000-12-12,150 cm,hololive Indonesia
UCuI_opAVX6qbxZY-a-AxFuQ,Niko,Koganei Niko,虎金妃笑虎,koganeiniko,koganei-niko,2000-07-25,172 cm,FLOW GLOW
UC9p_lqQ0FEDz327Vgf5JwqA,Bijou,Koseki Bijou,古石ビジュー,kosekibijou,koseki-bijou,2000-04-14,140 cm,hololive English -Advent-
UCYz_5n-uDuChHtLo7My1HnQ,Ollie,Kureiji Ollie,クレイジー オリー,kureijiollie,kureiji-ollie,2000-10-13,162 cm,hololive Indonesia
UCENwRMx5Yh42zWpzURebzTw,Darknesss,La+ Darknesss,ラプラス ダークネス,LaplusDarknesss,la-darknesss,2000-05-25,139 cm,holoX
UC1opHUrw8rvnsadT-iGp7Cg,Aqua,Minato Aqua,湊あくあ,minatoaqua,minato-aqua,2000-12-01,148 cm,hololive 2nd Generation
UCjk2nKmHzgH5Xy-C5qYRd5A,Su,Mizumiya Su,水宮枢,mizumiya_su,mizumiya-su,2000-06-16,145 cm,FLOW GLOW
UCt9H_RpQzhxzlyBxFqrdHqA,FuwaMoco,FuwaMoco Abyssgard,フワモコ アビスガード,fuwamoco_en,mococo-abyssgard,2000-02-02,155 cm,hololive English -Advent-
UCAWSyEs_Io8MtpY3m-zqILA,Nene,Momosuzu Nene,桃鈴ねね,momosuzunene,momosuzu-nene,2000-03-02,159 cm,hololive 5th Generation
UCP0BspO_AMEe3aQqqpo89Dg,Hoshinova,Moona Hoshinova,ムーナ ホシノヴァ,moonahoshinova,moona-hoshinova,2000-02-15,165㎝,hololive Indonesia
UCL_qhgtOy0dy1Agp8vkySQg,Calliope,Mori Calliope,森カリオペ,moricalliope,mori-calliope,2000-04-04,167 cm,hololive English -Myth-
UCXTpFs_3PqI41qX2d9tL2Rw,Shion,Murasaki Shion,紫咲シオン,murasakishionch,murasaki-shion,2000-12-08,145 cm,hololive 2nd Generation
UC7fk0CB07ly8oSl0aqKkqFg,Ayame,Nakiri Ayame,百鬼あやめ,nakiriayame,nakiri-ayame,2000-12-13,152 cm,hololive 2nd Generation
UC3n5uGu18FoCy23ggWWp8tA,Mumei,Nanashi Mumei,七詩ムメイ,nanashimumei_en,nanashi-mumei,2000-08-04,156 cm,hololive English -Promise-
UCQ0UDLQCjY0rmuxCDE38FGg,Matsuri,Natsuiro Matsuri,夏色まつり,natsuiromatsuri,natsuiro-matsuri,2000-07-22,152 cm,hololive 1st Generation
UCvaTdHTWBGv3MKj3KVqJVCw,Okayu,Nekomata Okayu,猫又おかゆ,nekomataokayu,nekomata-okayu,2000-02-22,152 cm,hololive GAMERS
UC_sFNM0z0MWm9A6WlKPuMMg,Ravencroft,Nerissa Ravencroft,ネリッサ レイヴンクロフト,nerissa_en,nerissa-ravencroft,2000-11-21,175 cm,hololive English -Advent-
UCMwGHR0BTZuLsmjY_NT5Pwg,Ina’nis,Ninomae Ina’nis,一伊那尓栖,ninomaeinanis,ninomae-inanis,2000-05-20,157 cm,hololive English -Myth-
UCK9V2B22uJYu3N7eR_BT9QA,Polka,Omaru Polka,尾丸ポルカ,omarupolka,omaru-polka,2000-01-30,153 cm,hololive 5th Generation
UCp-5t9SrOQwXMU7iIjQfARg,Mio,Ookami Mio,大神ミオ,ookamimio,ookami-mio,2000-08-20,160 cm,hololive GAMERS
UCvzGlP9oQwU--Y0r9id_jnA,Subaru,Oozora Subaru,大空スバル,oozorasubaru,oozora-subaru,2000-07-02,154 cm,hololive 2nd Generation
UCWQtYtq9EOB4-I5P-3fh8lA,Kanade,Otonose Kanade,音乃瀬奏,otonosekanade,otonose-kanade,2000-04-20,153 cm,ReGLOSS
UCmbs8T6MWqUHP1tIQvSgKrg,Kronii,Ouro Kronii,オーロ クロニー,ourokronii,ouro-kronii,2000-03-14,168 cm,hololive English -Promise-
UChgTyjG-pdNvxxhdsXfHQ5Q,Reine,Pavolia Reine,パヴォリア レイネ,pavoliareine,pavolia-reine,2000-09-09,,hololive Indonesia
UCl69AEx4MdqMZH7Jtsm7Tig,Panthera,Raora Panthera,ラオーラ パンテーラ,raorapanthera,raora-panthera,2000-05-11,155 cm,hololive English -Justice-
UCKMWFR6lAstLa7Vbf5dH7ig,Chihaya,Rindo Chihaya,輪堂千速,rindochihaya,rindo-chihaya,2000-07-08,168 cm,FLOW GLOW
UCDqI2jOz0weumE8s7paEk6g,Robocosan,Robocosan,ロボ子さん,robocosan,roboco-san,2000-05-23,154 cm,hololive Generation 0
UCIBY1ollUsauvVi4hW4cumw,Chloe,Sakamata Chloe,沙花叉クロヱ,sakamatachloe,sakamata-chloe,2000-05-18,148 ㎝,holoX
UC-hM6YJuNYVAmUWxeIr9FeA,Miko,Sakura Miko,さくらみこ,sakuramiko35,sakuramiko,2000-03-05,152 cm,hololive Generation 0
UCgnfPPb9JI3e9A4cXHnWbyg,Novella,Shiori Novella,シオリ ノヴェラ,shiorinovella,shiori-novella,2000-05-02,163 cm,hololive English -Advent-
UCdn5BQ06XqgXoAxIhbqw5Rg,Fubuki,Shirakami Fubuki,白上フブキ,shirakamifubuki,shirakami-fubuki,2000-10-05,155cm,hololive 1st Generation/Gamers
UCvInZx9h3jC2JzsIzoOebWg,Flare,Shiranui Flare,不知火フレア,shiranuiflare,shiranui-flare,2000-04-02,158 cm,hololive 3rd Generation
UCdyqAaZDKHXg4Ahi7VENThQ,Noel,Shirogane Noel,白銀ノエル,shiroganenoel,shirogane-noel,2000-11-24,158 cm,hololive 3rd Generation
UCUKD-uaobj9jiqB-VXt71mA,Botan,Shishiro Botan,獅白ぼたん,shishirobotan,shishiro-botan,2000-09-08,166 cm,hololive 5th Generation
UCHsx4Hqa-1ORjQTh9TYDhww,Kiara,Takanashi Kiara,小鳥遊キアラ,takanashikiara,takanashi-kiara,2000-07-06,165 cm,hololive English -Myth-
UCs9_O1tRPMQTHQ-N_L6FU2g,Lui,Takane Lui,鷹嶺ルイ,takanelui,takane-lui,2000-06-11,161 ㎝,holoX
UC1iA6_NT4mtAcIII6ygrvCw,Hajime,Todoroki Hajime,轟はじめ,todoroki_hajime,todoroki-hajime,2000-06-07,155 cm,ReGLOSS
UCp6993wxpyDPHUpavwDFqgg,Sora,Tokino Sora,ときのそら,tokino_sora,tokino-sora,2000-05-15,160 cm,hololive Generation 0
UC1uv2Oq6kNxgATlCiez59hw,Towa,Tokoyami Towa,常闇トワ,tokoyamitowa,tokoyami-towa,2000-08-08,150 cm,hololive 4th Generation
UCsUj0dszADCGbF3gNrQEuSQ,Sana,Tsukumo Sana,九十九佐命,tsukumosana,tsukumo-sana,2000-06-10,"169cm (With limiter, and without limiter 1697 840 000 000)",hololive English -Council-
UCqm3BQLlJfvkTsX_hvm0UmA,Watame,Tsunomaki Watame,角巻わため,tsunomakiwatame,tsunomaki-watame,2000-06-06,151 cm,hololive 4th Generation
UC1DCedRgGHBdm81E1llLhOQ,Pekora,Usada Pekora,兎田ぺこら,usadapekora,usada-pekora,2000-01-12,153 cm,hololive 3rd Generation
UCTvHWSfBZgtxE4sILOaurIQ,Zeta,Vestia Zeta,ベスティア ゼータ,vestiazeta,vestia-zeta,2000-11-07,155 cm,hololive Indonesia
UCyl1z3jo3XHR1riLFKG5UAg,Amelia,Watson Amelia,ワトソン アメリア,watsonameliaEN,watson-amelia,2000-01-06,150 cm,hololive English -Myth-
UCFKOVgVbGmX65RxO3EtH3iw,Lamy,Yukihana Lamy,雪花ラミィ,yukihanalamy,yukihana-lamy,2000-11-15,158 cm,hololive 5th Generation
UC1suqwovbL1kzsoaZgFZLKg,Choco,Yuzuki Choco,癒月ちょこ,yuzukichococh,yuzuki-choco,2000-02-14,165 cm,hololive 2nd Generation
